driver_id,experience_years,customer_rating,trip_frequency,earning_history,on_time_arrival_rate,driving_behaviour_score,transaction_pattern,cancellation_rate,gender,region,age_group,nova_score
D00001,6,4.19,211,66269.51999999999,92.13,86.85,Digital,-1.41,Female,Urban,18-25,156.6
D00002,19,4.955,411,80849.7,90.14,80.65,Digital,-4.39,Male,Urban,60+,186.15
D00003,14,4.88,55,58973.17,87.13,86.17,Digital,-1.8399999999999999,Male,Semi-Urban,36-45,164.94
D00004,10,4.93,441,56396.66,80.83,85.18,Digital,-0.8799999999999999,Male,Urban,36-45,179.89
D00005,7,5.075,61,41587.5,93.75,64.35,Cash,0.18999999999999995,Male,Semi-Urban,36-45,163.43
D00006,20,4.6,253,57251.91,81.64,95.61,Digital,-6.02,Female,Urban,36-45,166.02
D00007,6,4.5,64,30631.84,91.21,71.54,Digital,1.9699999999999998,Male,Semi-Urban,36-45,147.13
D00008,18,5.22,355,77211.22,90.58,88.05,Cash,-4.34,Male,Urban,36-45,190.8
D00009,10,4.49,166,86894.26,87.58,70.83,Digital,4.02,Female,Urban,26-35,164.38
D00010,10,4.0,473,62016.17,85.35,84.75,Digital,-2.68,Male,Urban,46-60,159.94
D00011,20,5.25,107,75585.37,82.22,90.44,Digital,-0.8200000000000003,Male,Semi-Urban,46-60,180.33
D00012,3,4.345,319,41927.76,84.5,69.85,Digital,3.46,Male,Rural,60+,155.02
D00013,7,4.425,75,32095.32,97.24,77.98,Digital,1.7300000000000004,Female,Urban,46-60,147.93
D00014,2,4.6,198,57410.93,94.89,96.97,Cash,-0.06000000000000005,Female,Urban,26-35,166.05
D00015,20,5.0,143,80664.68,92.38,87.92,Digital,-6.109999999999999,Male,Urban,18-25,177.93
D00016,1,4.925000000000001,304,53841.95,96.25,88.43,Digital,2.98,Female,Urban,26-35,176.45
D00017,11,4.275,437,74893.3,85.68,74.51,Digital,-1.3200000000000003,Female,Semi-Urban,36-45,167.11
D00018,5,5.125,293,32838.93,91.3,71.04,Cash,1.6600000000000001,Male,Urban,26-35,172.41
D00019,1,3.955,77,52818.77,90.0,75.86,Digital,4.17,Male,Semi-Urban,26-35,140.04
D00020,20,4.84,469,46165.6,85.96,80.53,Cash,-5.4,Male,Urban,36-45,176.27
D00021,0,4.15,340,65412.05,88.5,55.86,Cash,6.57,Male,Urban,36-45,155.36
D00022,11,4.795,402,68416.78,87.82,70.08,Digital,-1.37,Female,Semi-Urban,26-35,176.74
D00023,11,4.785,367,41164.67,95.15,73.46,Cash,-0.3600000000000003,Male,Semi-Urban,26-35,169.89
D00024,16,4.970000000000001,77,81049.7,87.41,92.39,Cash,-0.20999999999999996,Male,Urban,46-60,174.56
D00025,9,4.824999999999999,499,29000.0,88.23,69.39,Cash,0.29000000000000004,Female,Semi-Urban,46-60,171.48
D00026,15,5.375,119,74990.86,95.83,67.71,Mixed,-5.05,Female,Urban,36-45,182.41
D00027,14,4.909999999999999,270,87735.39,91.06,81.22,Mixed,-3.45,Male,Urban,26-35,181.33
D00028,14,5.35,227,69506.85,88.6,81.59,Digital,1.1400000000000006,Male,Urban,46-60,185.74
D00029,18,4.25,419,67052.15,83.85,83.31,Digital,-5.74,Female,Urban,18-25,164.85
D00030,11,3.905,283,36480.69,90.1,80.2,Digital,-0.8899999999999997,Male,Rural,26-35,143.61
D00031,19,5.0249999999999995,335,61191.87,91.33,85.42,Cash,-1.8600000000000003,Female,Urban,18-25,180.84
D00032,2,4.68,469,90748.42,94.66,74.37,Digital,7.470000000000001,Female,Urban,18-25,183.8
D00033,4,4.39,365,24000.0,89.56,79.48,Mixed,2.6900000000000004,Male,Urban,26-35,155.71
D00034,18,4.95,352,58956.1,90.5,65.45,Digital,-3.25,Male,Urban,36-45,175.96
D00035,6,5.08,360,50661.06,97.83,76.54,Mixed,1.8099999999999996,Male,Rural,36-45,180.22
D00036,20,5.27,55,106389.75,87.58,83.47,Digital,-5.59,Male,Urban,46-60,186.2
D00037,8,4.57,179,79381.32,95.04,86.9,Cash,-4.0,Female,Urban,26-35,168.55
D00038,6,4.73,227,52390.49,89.28,82.66,Digital,3.49,Male,Urban,18-25,166.22
D00039,17,5.225,313,64304.88,93.17,91.48,Cash,-1.96,Female,Urban,26-35,186.92
D00040,3,4.085,273,68138.34,85.15,100.0,Digital,6.06,Female,Rural,26-35,157.85
D00041,13,4.505,357,71640.97,83.07,73.57,Mixed,-2.4400000000000004,Male,Urban,60+,168.31
D00042,17,5.295,338,71747.72,89.03,89.1,Mixed,-6.61,Male,Semi-Urban,18-25,190.55
D00043,8,4.01,202,90315.69,81.38,85.71,Digital,2.4400000000000004,Male,Urban,26-35,155.97
D00044,20,4.56,267,61288.8,87.75,79.55,Digital,-4.05,Male,Urban,18-25,165.1
D00045,1,4.035,214,37536.23,92.92,74.18,Digital,1.69,Female,Urban,18-25,143.88
D00046,19,5.345,370,45215.979999999996,91.45,88.19,Cash,-6.32,Male,Urban,26-35,186.67
D00047,14,4.42,440,85915.08,93.83,71.61,Mixed,-1.25,Male,Semi-Urban,26-35,174.39
D00048,6,4.970000000000001,186,33421.520000000004,95.24,78.85,Mixed,0.43000000000000016,Female,Urban,46-60,166.16
D00049,11,4.635000000000001,171,67843.66,92.92,86.45,Cash,0.4500000000000002,Male,Semi-Urban,26-35,166.58
D00050,7,5.175,412,59830.77,84.49,72.74,Cash,1.6100000000000003,Male,Semi-Urban,26-35,184.4
D00051,14,4.8999999999999995,264,55882.24,85.05,96.89,Digital,-4.09,Female,Rural,26-35,174.32
D00052,2,4.9799999999999995,242,49604.72,88.65,78.22,Cash,1.21,Female,Semi-Urban,36-45,171.61
D00053,13,5.005,188,64739.55,87.57,71.54,Digital,0.08999999999999986,Female,Urban,36-45,172.7
D00054,16,4.720000000000001,233,61369.87,93.34,85.74,Mixed,-2.8099999999999996,Male,Urban,26-35,169.52
D00055,3,4.565,369,56002.19,92.95,79.38,Mixed,4.11,Male,Urban,36-45,168.74
D00056,17,4.925,322,59435.87,80.49,66.76,Cash,-2.24,Female,Rural,26-35,172.95
D00057,7,4.495,185,56795.09,91.51,60.67,Digital,2.8099999999999996,Male,Urban,36-45,156.8
D00058,3,4.9350000000000005,103,50637.89,91.74,75.0,Mixed,0.010000000000000009,Male,Rural,26-35,165.17
D00059,1,5.025,112,26348.46,96.75,84.74,Digital,2.49,Female,Urban,36-45,163.92
D00060,5,4.675,55,87013.95,96.71,89.99,Digital,3.45,Male,Semi-Urban,26-35,168.83
D00061,9,5.015,483,60634.61,96.28,73.75,Mixed,1.3600000000000003,Female,Urban,46-60,185.36
D00062,3,4.785,121,54002.78,85.63,58.88,Digital,0.9199999999999999,Male,Urban,18-25,159.64
D00063,17,3.885,197,89144.34,91.5,81.81,Digital,-1.0899999999999999,Male,Urban,46-60,153.29
D00064,11,4.9750000000000005,325,63666.93,91.68,78.28,Mixed,-2.93,Male,Semi-Urban,26-35,178.79
D00065,1,4.705,390,78624.12,84.02,78.05,Digital,4.15,Male,Urban,26-35,177.19
D00066,9,4.225,312,86908.67,92.73,93.16,Cash,2.45,Male,Semi-Urban,36-45,167.72
D00067,3,3.855,219,57391.62,91.83,82.06,Mixed,5.31,Female,Semi-Urban,26-35,145.57
D00068,13,4.995,405,88398.38,87.95,81.0,Cash,-2.98,Female,Semi-Urban,26-35,188.52
D00069,15,5.375,440,81929.68,93.89,74.13,Digital,-2.2199999999999998,Female,Urban,26-35,197.66
D00070,14,4.699999999999999,158,92624.1,89.42,70.8,Mixed,4.279999999999999,Male,Semi-Urban,36-45,171.01
D00071,7,4.545,330,86279.47,81.1,82.23,Cash,-2.58,Male,Urban,26-35,172.89
D00072,13,5.325,147,49220.39,91.72,97.66,Digital,-1.5099999999999998,Female,Semi-Urban,26-35,179.72
D00073,7,5.035,314,52076.34,81.96,97.2,Digital,-0.33999999999999986,Male,Rural,26-35,178.33
D00074,20,4.51,195,62359.76,94.16,83.65,Digital,-7.84,Male,Semi-Urban,18-25,162.81
D00075,15,4.585,51,55923.86,78.67,81.4,Cash,-0.6299999999999999,Male,Rural,26-35,154.66
D00076,12,5.3,428,69040.28,85.34,81.02,Digital,0.05999999999999961,Male,Semi-Urban,26-35,191.83
D00077,17,4.655,435,61730.07,91.21,83.56,Digital,0.019999999999999574,Male,Urban,60+,175.42
D00078,14,4.64,406,79230.59,95.0,85.26,Digital,-0.4800000000000004,Female,Semi-Urban,60+,179.09
D00079,20,5.27,78,69439.41,91.45,72.11,Digital,-4.56,Male,Semi-Urban,26-35,176.76
D00080,12,4.6899999999999995,430,65469.74,88.17,70.66,Digital,-1.4500000000000002,Male,Urban,26-35,174.64
D00081,8,4.88,231,61246.97,87.44,88.42,Digital,2.7300000000000004,Female,Semi-Urban,36-45,172.93
D00082,14,4.97,91,44161.520000000004,94.0,100.0,Cash,-0.45999999999999996,Female,Rural,36-45,168.03
D00083,12,4.74,422,62550.61,93.43,53.34,Digital,-1.8899999999999997,Male,Semi-Urban,26-35,173.03
D00084,0,4.98,424,39586.38,83.09,71.66,Mixed,2.4,Female,Semi-Urban,60+,174.57
D00085,6,4.140000000000001,467,70608.76000000001,79.94,80.3,Mixed,-1.7,Female,Urban,60+,163.87
D00086,8,4.75,186,60824.63,87.43,79.99,Cash,1.8200000000000003,Male,Urban,36-45,166.51
D00087,0,4.27,186,46231.48,100.0,89.72,Digital,6.19,Female,Semi-Urban,18-25,154.21
D00088,11,5.275,408,37008.41,93.85,95.15,Cash,-2.15,Male,Semi-Urban,26-35,185.8
D00089,7,4.6049999999999995,466,29143.81,80.15,98.0,Cash,1.1500000000000004,Male,Semi-Urban,46-60,167.77
D00090,10,5.25,107,67319.61,99.1,73.04,Mixed,2.71,Female,Semi-Urban,36-45,178.18
D00091,18,4.78,142,71734.64,96.58,84.63,Cash,-5.73,Male,Semi-Urban,26-35,170.3
D00092,16,4.94,149,93083.37,88.85,75.41,Cash,-4.34,Male,Semi-Urban,36-45,177.37
D00093,7,5.115,146,39836.01,94.08,96.39,Mixed,3.26,Male,Urban,26-35,172.24
D00094,2,4.17,306,58301.24,91.89,75.27,Digital,6.3,Male,Urban,60+,156.14
D00095,2,5.05,237,61820.74,97.68,56.27,Digital,3.3200000000000003,Female,Urban,26-35,174.28
D00096,0,4.51,241,38750.88,80.83,83.23,Digital,5.28,Male,Urban,26-35,156.69
D00097,4,4.76,179,71179.28,92.97,73.94,Digital,1.98,Male,Semi-Urban,36-45,168.99
D00098,9,4.944999999999999,173,35251.8,86.34,89.88,Digital,2.8600000000000003,Male,Semi-Urban,26-35,165.79
D00099,6,4.62,159,65330.93,95.72,74.49,Cash,2.84,Male,Rural,46-60,163.72
D00100,8,4.38,120,28088.7,88.79,66.3,Digital,0.13999999999999968,Male,Semi-Urban,46-60,144.59
D00101,6,4.69,181,64294.47,89.58,64.03,Mixed,3.2,Female,Urban,26-35,163.61
D00102,8,3.9000000000000004,409,61763.56,93.78,80.94,Mixed,0.7999999999999998,Male,Semi-Urban,26-35,155.51
D00103,7,4.155,271,63332.31,87.52,83.44,Cash,4.05,Male,Rural,60+,156.19
D00104,11,4.715000000000001,157,74084.86,87.17,76.53,Cash,-3.09,Male,Semi-Urban,46-60,167.23
