experience_years,customer_rating,trip_frequency,earning_history,on_time_arrival_rate,driving_behaviour_score,cancellation_rate,transaction_pattern_Digital,transaction_pattern_Mixed,gender_Male,gender_Other,region_Semi-Urban,region_Urban,age_group_26-35,age_group_36-45,age_group_46-60,age_group_60+
6,4.19,211,66269.51999999999,92.13,86.85,-1.41,True,False,False,False,False,True,False,False,False,False
19,4.955,411,80849.7,90.14,80.65,-4.39,True,False,True,False,False,True,False,False,False,True
14,4.88,55,58973.17,87.13,86.17,-1.8399999999999999,True,False,True,False,True,False,False,True,False,False
10,4.93,441,56396.66,80.83,85.18,-0.8799999999999999,True,False,True,False,False,True,False,True,False,False
7,5.075,61,41587.5,93.75,64.35,0.18999999999999995,False,False,True,False,True,False,False,True,False,False
20,4.6,253,57251.91,81.64,95.61,-6.02,True,False,False,False,False,True,False,True,False,False
6,4.5,64,30631.84,91.21,71.54,1.9699999999999998,True,False,True,False,True,False,False,True,False,False
18,5.22,355,77211.22,90.58,88.05,-4.34,False,False,True,False,False,True,False,True,False,False
10,4.49,166,86894.26,87.58,70.83,4.02,True,False,False,False,False,True,True,False,False,False
10,4.0,473,62016.17,85.35,84.75,-2.68,True,False,True,False,False,True,False,False,True,False
20,5.25,107,75585.37,82.22,90.44,-0.8200000000000003,True,False,True,False,True,False,False,False,True,False
3,4.345,319,41927.76,84.5,69.85,3.46,True,False,True,False,False,False,False,False,False,True
7,4.425,75,32095.32,97.24,77.98,1.7300000000000004,True,False,False,False,False,True,False,False,True,False
2,4.6,198,57410.93,94.89,96.97,-0.06000000000000005,False,False,False,False,False,True,True,False,False,False
20,5.0,143,80664.68,92.38,87.92,-6.109999999999999,True,False,True,False,False,True,False,False,False,False
1,4.925000000000001,304,53841.95,96.25,88.43,2.98,True,False,False,False,False,True,True,False,False,False
11,4.275,437,74893.3,85.68,74.51,-1.3200000000000003,True,False,False,False,True,False,False,True,False,False
5,5.125,293,32838.93,91.3,71.04,1.6600000000000001,False,False,True,False,False,True,True,False,False,False
1,3.955,77,52818.77,90.0,75.86,4.17,True,False,True,False,True,False,True,False,False,False
20,4.84,469,46165.6,85.96,80.53,-5.4,False,False,True,False,False,True,False,True,False,False
0,4.15,340,65412.05,88.5,55.86,6.57,False,False,True,False,False,True,False,True,False,False
11,4.795,402,68416.78,87.82,70.08,-1.37,True,False,False,False,True,False,True,False,False,False
11,4.785,367,41164.67,95.15,73.46,-0.3600000000000003,False,False,True,False,True,False,True,False,False,False
16,4.970000000000001,77,81049.7,87.41,92.39,-0.20999999999999996,False,False,True,False,False,True,False,False,True,False
9,4.824999999999999,499,29000.0,88.23,69.39,0.29000000000000004,False,False,False,False,True,False,False,False,True,False
15,5.375,119,74990.86,95.83,67.71,-5.05,False,True,False,False,False,True,False,True,False,False
14,4.909999999999999,270,87735.39,91.06,81.22,-3.45,False,True,True,False,False,True,True,False,False,False
14,5.35,227,69506.85,88.6,81.59,1.1400000000000006,True,False,True,False,False,True,False,False,True,False
18,4.25,419,67052.15,83.85,83.31,-5.74,True,False,False,False,False,True,False,False,False,False
11,3.905,283,36480.69,90.1,80.2,-0.8899999999999997,True,False,True,False,False,False,True,False,False,False
19,5.0249999999999995,335,61191.87,91.33,85.42,-1.8600000000000003,False,False,False,False,False,True,False,False,False,False
2,4.68,469,90748.42,94.66,74.37,7.470000000000001,True,False,False,False,False,True,False,False,False,False
4,4.39,365,24000.0,89.56,79.48,2.6900000000000004,False,True,True,False,False,True,True,False,False,False
18,4.95,352,58956.1,90.5,65.45,-3.25,True,False,True,False,False,True,False,True,False,False
6,5.08,360,50661.06,97.83,76.54,1.8099999999999996,False,True,True,False,False,False,False,True,False,False
20,5.27,55,106389.75,87.58,83.47,-5.59,True,False,True,False,False,True,False,False,True,False
8,4.57,179,79381.32,95.04,86.9,-4.0,False,False,False,False,False,True,True,False,False,False
6,4.73,227,52390.49,89.28,82.66,3.49,True,False,True,False,False,True,False,False,False,False
17,5.225,313,64304.88,93.17,91.48,-1.96,False,False,False,False,False,True,True,False,False,False
3,4.085,273,68138.34,85.15,100.0,6.06,True,False,False,False,False,False,True,False,False,False
13,4.505,357,71640.97,83.07,73.57,-2.4400000000000004,False,True,True,False,False,True,False,False,False,True
